Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,vgpr,sgpr,fbar,sig,obj
46,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,46,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
47,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,47,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
48,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,48,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
49,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,49,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
50,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,50,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
51,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,51,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
52,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,52,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
53,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,53,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
54,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,54,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
55,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,55,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
56,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,56,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
57,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,57,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
58,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,58,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
59,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,59,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
60,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,60,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
61,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,61,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
62,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,62,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
63,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,63,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
64,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,64,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
65,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,65,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
66,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,66,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
67,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,67,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
68,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,68,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
69,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,69,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
70,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,70,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
71,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,71,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
72,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,72,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
73,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,73,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
74,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,74,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
75,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,75,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
76,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,76,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
77,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,77,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
78,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,78,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
